timestamp_ns,pid,comm,cpu,delay_us,event
10550917384710,637077,iperf3,4,3,switch
10550979968821,42,ksoftirqd/4,4,4,switch
10551134143187,42,ksoftirqd/4,4,9,switch
10551207030099,15,rcu_preempt,1,2,switch
10551276882626,637077,iperf3,6,2,switch
10551368764082,637077,iperf3,7,4,switch
10551455768560,5113,Chrome_IOThread,1,3,switch
15:54:14
10551623213943,294800,chrome,1,3,switch
10551743446024,6201,language_server,7,4,switch
10551845330463,637077,iperf3,6,4,switch
10551949622412,387,z_null_int,4,2,switch
10552073670133,637077,iperf3,4,2,switch
10552173639208,14,ksoftirqd/0,0,6,switch
10552287709540,3977,gdbus,1,326,switch
10552414807239,637076,iperf3,1,1,switch
10552448670604,637076,iperf3,1,1,switch
15:54:15
10552694170738,6201,language_server,6,2,switch
10552814266015,640159,gdbus,6,126,switch
10552873110706,640159,gdbus,7,40,switch
10552950768133,637077,iperf3,6,13,switch
10553093597401,637077,iperf3,1,4,switch
10553282636467,5230,VizCompositorTh,3,30,switch
10553379917503,637077,iperf3,1,4,switch
15:54:16
10553586176664,5255,Compositor,0,4,switch
10553829165402,5098,antigravity,3,12,switch
10553947909979,637077,iperf3,3,2,switch
10554041069709,60,ksoftirqd/7,7,4,switch
10554158210556,637077,iperf3,3,4,switch
10554343345084,19202,language_server,7,52,switch
10554486790866,640737,pool-tracker-mi,2,34,switch
15:54:17
10554683137779,5241,ThreadPoolForeg,2,4,switch
10554785892419,5298,antigravity,1,1005,switch
10554884450298,6201,language_server,7,6,switch
10555018694681,548896,kworker/u33:1,1,9,switch
10555093816586,249,irq/133-SYNA328,7,7,switch
10555252264684,3414,KMS thread,3,3,switch
10555426500332,315837,kworker/7:0,7,20,switch
10555539036588,3960,tracker-miner-f,0,3,switch
15:54:18
10555661330047,637077,iperf3,6,3,switch
10555781939066,637077,iperf3,7,4,switch
10555914678625,6206,language_server,7,3,switch
10556064821800,5098,antigravity,7,3,switch
10556319468303,5230,VizCompositorTh,3,2,switch
10556553797897,5236,antigravity,1,2,switch
15:54:19
10556718158412,232999,kworker/0:0,0,13,switch
10556945355921,637077,iperf3,7,2,switch
10557143735571,5242,Chrome_ChildIOT,0,94,switch
10557316110363,637077,iperf3,3,2,switch
15:54:20
10557593534091,6201,language_server,3,3,switch
10557754158340,5255,Compositor,2,3,switch
10558008231782,639043,z_wr_iss,1,14,switch
10558104331534,24,ksoftirqd/1,1,6,switch
10558240546767,637077,iperf3,7,2,switch
10558346371876,637077,iperf3,3,2,switch
15:54:21
10558592912542,5098,antigravity,6,2,switch
10558796052661,21003,kworker/3:0,3,4,switch
10558921295402,641305,z_wr_int_1,7,5,switch
10559133586524,637077,iperf3,2,2,switch
10559360523545,637077,iperf3,3,5,switch
10559552467225,637077,iperf3,2,2,switch
15:54:22
10559743394071,374398,kworker/u32:4,4,1,switch
10559910427876,637078,iperf3,7,3,switch
10560229531104,637077,iperf3,7,6,switch
10560330940566,36,ksoftirqd/3,3,4,switch
10560407630008,232999,kworker/0:0,0,23,switch
10560525292997,637077,iperf3,7,2,switch
15:54:23
10560671471014,637077,iperf3,3,2,switch
10560767181812,637077,iperf3,7,2,switch
10560908500809,60,ksoftirqd/7,7,5,switch
10561056096746,637077,iperf3,3,2,switch
10561178227244,637077,iperf3,4,2,switch
10561413646376,637076,iperf3,2,1,switch
10561436031482,637076,iperf3,2,2,switch
10561464188197,637076,iperf3,4,2,switch
15:54:24
10561614372727,637077,iperf3,6,4,switch
10561874708989,42,ksoftirqd/4,4,5,switch
10562045708282,641653,bash,0,37,switch
10562299816967,637077,iperf3,4,2,switch
10562419235984,637076,iperf3,6,1,switch
10562442034874,637076,iperf3,6,1,switch
10562469636532,637076,iperf3,6,1,switch
15:54:25
10562840502423,637077,iperf3,7,6,switch
10562981311362,641024,tracker-extract,3,36,switch
10563108765807,641734,bash,3,29,switch
10563379745811,637077,iperf3,7,2,switch
10563509182762,637077,iperf3,3,2,switch
15:54:26
10563586935894,637077,iperf3,7,2,switch
10563706212157,637077,iperf3,3,2,switch
10563984767204,3960,tracker-miner-f,6,3,switch
10564174556814,635526,bash,7,3,switch
10564400625339,637076,iperf3,3,2,switch
15:54:27
10564864096796,637077,iperf3,3,2,switch
10565075936060,641865,pool-tracker-mi,2,3,switch
10565246822971,24,ksoftirqd/1,1,5,switch
10565401503354,637076,iperf3,3,1,switch
15:54:28
10565719266302,637077,iperf3,4,2,switch
10566005901970,400,z_flush_int,2,5,switch
10566175836408,6201,language_server,3,2,switch
10566398245195,635506,iperf3,7,1,switch
15:54:29
10566742918152,6206,language_server,7,5,switch
10566960216453,6201,language_server,3,1,switch
10567311213816,637077,iperf3,4,2,switch
10567412891186,637076,iperf3,1,4,switch
15:54:30
10567611365845,5242,Chrome_ChildIOT,4,6,switch
10567828392941,637077,iperf3,3,2,switch
10567969538782,637077,iperf3,3,2,switch
10568080401810,637077,iperf3,7,3,switch
10568156439893,637077,iperf3,7,2,switch
10568245948726,637077,iperf3,7,2,switch
10568384134961,637077,iperf3,3,2,switch
10568552541921,641881,gdbus,0,41,switch
15:54:31
10568855653986,637077,iperf3,3,2,switch
10569107455402,3960,tracker-miner-f,3,2,switch
10569363671720,637077,iperf3,2,2,switch
15:54:32
