@runq_delay_us: 
[8, 16)             1497 |@@@                                                 |
[16, 32)            1204 |@@                                                  |
[32, 64)            1644 |@@@                                                 |
[64, 128)            304 |                                                    |
[128, 256)           167 |                                                    |
[256, 512)            98 |                                                    |
[512, 1K)            105 |                                                    |
[1K, 2K)              57 |                                                    |
[2K, 4K)              60 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 80009
@runq_delay_us: 
[0]                  327 |                                                    |
[1]                 5553 |@@@@@@@@@@@                                         |
[2, 4)             25246 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              6291 |@@@@@@@@@@@@                                        |
[8, 16)             1537 |@@@                                                 |
[16, 32)            1244 |@@                                                  |
[32, 64)            1674 |@@@                                                 |
[64, 128)            307 |                                                    |
[128, 256)           168 |                                                    |
[256, 512)            98 |                                                    |
[512, 1K)            107 |                                                    |
[1K, 2K)              57 |                                                    |
[2K, 4K)              60 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 83153
@runq_delay_us: 
[0]                  335 |                                                    |
[1]                 5788 |@@@@@@@@@@@                                         |
[2, 4)             26202 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              6523 |@@@@@@@@@@@@                                        |
[8, 16)             1570 |@@@                                                 |
[16, 32)            1261 |@@                                                  |
[32, 64)            1690 |@@@                                                 |
[64, 128)            312 |                                                    |
[128, 256)           170 |                                                    |
[256, 512)            98 |                                                    |
[512, 1K)            107 |                                                    |
[1K, 2K)              57 |                                                    |
[2K, 4K)              60 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 86141
@runq_delay_us: 
[0]                  361 |                                                    |
[1]                 6161 |@@@@@@@@@@@                                         |
[2, 4)             27371 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              6773 |@@@@@@@@@@@@                                        |
[8, 16)             1614 |@@@                                                 |
[16, 32)            1295 |@@                                                  |
[32, 64)            1718 |@@@                                                 |
[64, 128)            327 |                                                    |
[128, 256)           180 |                                                    |
[256, 512)           101 |                                                    |
[512, 1K)            109 |                                                    |
[1K, 2K)              59 |                                                    |
[2K, 4K)              61 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 89968
@runq_delay_us: 
[0]                  367 |                                                    |
[1]                 6458 |@@@@@@@@@@@                                         |
[2, 4)             28289 |@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@|
[4, 8)              7006 |@@@@@@@@@@@@                                        |
[8, 16)             1644 |@@@                                                 |
[16, 32)            1318 |@@                                                  |
[32, 64)            1738 |@@@                                                 |
[64, 128)            336 |                                                    |
[128, 256)           185 |                                                    |
[256, 512)           102 |                                                    |
[512, 1K)            112 |                                                    |
[1K, 2K)              60 |                                                    |
[2K, 4K)              61 |                                                    |
[4K, 8K)              23 |                                                    |
[8K, 16K)             23 |                                                    |
[16K, 32K)             2 |                                                    |

@ctx_switches: 93022
@runq_delay_us: 
[0]                  368 |                                                    |
